"vitePath","audience","viteComponent","nextPath","nextFile","status","moveWave","notes"
"/resources","public","src/legacy-pages/public/ResourcesPage.tsx","/resources","src/app/(public)/resources/page.tsx","exists","W1-auth-public",""
"/news","public","src/legacy-pages/public/NewsPage.tsx","/news","src/app/(public)/news/page.tsx","exists","W1-auth-public",""
"/privacy-policy","public","src/legacy-pages/public/LegalPage.tsx","/privacy-policy","src/app/(public)/privacy-policy/page.tsx","exists","W1-auth-public","LegalPage discriminates by path"
"/terms","public","src/legacy-pages/public/LegalPage.tsx","/terms","src/app/(public)/terms/page.tsx","exists","W1-auth-public","LegalPage discriminates by path"
"/client","client","src/legacy-pages/client/ClientDashboard.tsx","/client","src/app/(client)/client/page.tsx","exists","W2-client","Shared view src/views/client/ClientDashboard; Next page wired"
"/client/cases","client","src/legacy-pages/client/ClientCasesPage.tsx","/client/cases","src/app/(client)/client/cases/page.tsx","exists","W2-client",""
"/client/documents","client","src/legacy-pages/client/ClientDocumentsPage.tsx","/client/documents","src/app/(client)/client/documents/page.tsx","exists","W2-client",""
"/client/messages","client","src/legacy-pages/client/ClientMessagesPage.tsx","/client/messages","src/app/(client)/client/messages/page.tsx","exists","W2-client",""
"/client/billing","client","src/legacy-pages/client/ClientBillingPage.tsx","/client/billing","src/app/(client)/client/billing/page.tsx","exists","W2-client",""
"/client/booking","client","src/legacy-pages/client/ClientBookingPage.tsx","/client/booking","src/app/(client)/client/booking/page.tsx","exists","W2-client",""
"/client/kyc","client","src/legacy-pages/client/ClientKYCOnboarding.tsx","/client/kyc","src/app/(client)/client/kyc/page.tsx","exists","W2-client",""
"/client/signatures","client","src/legacy-pages/client/ClientSignaturesPage.tsx","/client/signatures","src/app/(client)/client/signatures/page.tsx","exists","W2-client",""
"/client/checklist","client","src/legacy-pages/client/ClientChecklistPage.tsx","/client/checklist","src/app/(client)/client/checklist/page.tsx","exists","W2-client",""
"/client/profile","client","src/legacy-pages/shared/SharedProfilePage.tsx","/client/profile","src/app/(client)/client/profile/page.tsx","exists","W2-client","Shared profile in src/views/shared; also used by staff/admin routes later"
"/staff","staff","src/legacy-pages/staff/StaffDashboard.tsx","/staff","src/app/(staff)/staff/page.tsx","exists","W3-staff","Shared view src/views/staff/StaffDashboard; Next page wired"
"/staff/cases","staff","src/legacy-pages/staff/StaffCasesPage.tsx","/staff/cases","src/app/(staff)/staff/cases/page.tsx","exists","W3-staff",""
"/staff/cases/:id","staff","src/legacy-pages/staff/StaffCaseDetailPage.tsx","/staff/cases/[id]","src/app/(staff)/staff/cases/[id]/page.tsx","exists","W3-staff",""
"/staff/hearings","staff","src/legacy-pages/staff/StaffHearingsPage.tsx","/staff/hearings","src/app/(staff)/staff/hearings/page.tsx","exists","W3-staff",""
"/staff/documents","staff","src/legacy-pages/staff/StaffDocumentsPage.tsx","/staff/documents","src/app/(staff)/staff/documents/page.tsx","exists","W3-staff",""
"/staff/tasks","staff","src/legacy-pages/staff/StaffTasksPage.tsx","/staff/tasks","src/app/(staff)/staff/tasks/page.tsx","exists","W3-staff",""
"/staff/time","staff","src/legacy-pages/staff/StaffTimeTrackerPage.tsx","/staff/time","src/app/(staff)/staff/time/page.tsx","exists","W3-staff",""
"/staff/clients","staff","src/legacy-pages/staff/StaffClientsPage.tsx","/staff/clients","src/app/(staff)/staff/clients/page.tsx","exists","W3-staff",""
"/staff/appointments","staff","src/legacy-pages/staff/StaffAppointmentsPage.tsx","/staff/appointments","src/app/(staff)/staff/appointments/page.tsx","exists","W3-staff",""
"/staff/research","staff","src/legacy-pages/staff/StaffResearchPage.tsx","/staff/research","src/app/(staff)/staff/research/page.tsx","exists","W3-staff",""
"/staff/profile","staff","src/legacy-pages/shared/SharedProfilePage.tsx","/staff/profile","src/app/(staff)/staff/profile/page.tsx","exists","W3-staff","Shared profile in src/views/shared"
"/admin","admin","src/legacy-pages/admin/AdminDashboard.tsx","/admin","src/app/(admin)/admin/page.tsx","exists","W4-admin","Shared view src/views/admin/AdminDashboard; Next page wired"
"/admin/users","admin","src/legacy-pages/admin/AdminUsersPage.tsx","/admin/users","src/app/(admin)/admin/users/page.tsx","exists","W4-admin",""
"/admin/analytics","admin","src/legacy-pages/admin/AdminAnalyticsPage.tsx","/admin/analytics","src/app/(admin)/admin/analytics/page.tsx","exists","W4-admin",""
"/admin/hr","admin","src/legacy-pages/admin/AdminHRPage.tsx","/admin/hr","src/app/(admin)/admin/hr/page.tsx","exists","W4-admin",""
"/admin/finance","admin","src/legacy-pages/admin/AdminFinancePage.tsx","/admin/finance","src/app/(admin)/admin/finance/page.tsx","exists","W4-admin",""
"/admin/expenses","admin","src/legacy-pages/admin/AdminExpensesPage.tsx","/admin/expenses","src/app/(admin)/admin/expenses/page.tsx","exists","W4-admin",""
"/admin/crm","admin","src/legacy-pages/admin/AdminCRMPage.tsx","/admin/crm","src/app/(admin)/admin/crm/page.tsx","exists","W4-admin",""
"/admin/settings","admin","src/legacy-pages/admin/AdminSettingsPage.tsx","/admin/settings","src/app/(admin)/admin/settings/page.tsx","exists","W4-admin",""
"/admin/audit","admin","src/legacy-pages/admin/AdminAuditPage.tsx","/admin/audit","src/app/(admin)/admin/audit/page.tsx","exists","W4-admin",""
"/admin/conflict-checker","admin","src/legacy-pages/admin/AdminConflictChecker.tsx","/admin/conflict-checker","src/app/(admin)/admin/conflict-checker/page.tsx","exists","W4-admin",""
"/admin/document-generator","admin","src/legacy-pages/admin/AdminDocumentGenerator.tsx","/admin/document-generator","src/app/(admin)/admin/document-generator/page.tsx","exists","W4-admin",""
"/admin/appointments","admin","src/legacy-pages/admin/AdminAppointmentsPage.tsx","/admin/appointments","src/app/(admin)/admin/appointments/page.tsx","exists","W4-admin",""
"/admin/templates","admin","src/legacy-pages/admin/AdminTemplatesPage.tsx","/admin/templates","src/app/(admin)/admin/templates/page.tsx","exists","W4-admin",""
"/admin/profile","admin","src/legacy-pages/shared/SharedProfilePage.tsx","/admin/profile","src/app/(admin)/admin/profile/page.tsx","exists","W4-admin","Shared profile in src/views/shared"
"/admin/cms","admin","src/legacy-pages/admin/AdminCMSDashboard.tsx","/admin/cms","src/app/(admin)/admin/cms/page.tsx","exists","W5-cms","Shared view under src/views/admin/cms"
"/admin/cms/navigation","admin","src/legacy-pages/admin/AdminCMSNavigation.tsx","/admin/cms/navigation","src/app/(admin)/admin/cms/navigation/page.tsx","exists","W5-cms","Shared view under src/views/admin/cms"
"/admin/cms/practice-areas","admin","src/legacy-pages/admin/AdminCMSPracticeAreas.tsx","/admin/cms/practice-areas","src/app/(admin)/admin/cms/practice-areas/page.tsx","exists","W5-cms","Shared view under src/views/admin/cms"
"/admin/cms/testimonials","admin","src/legacy-pages/admin/AdminCMSTestimonials.tsx","/admin/cms/testimonials","src/app/(admin)/admin/cms/testimonials/page.tsx","exists","W5-cms","Shared view under src/views/admin/cms"
"/admin/cms/team","admin","src/legacy-pages/admin/AdminCMSTeam.tsx","/admin/cms/team","src/app/(admin)/admin/cms/team/page.tsx","exists","W5-cms","Shared view under src/views/admin/cms"
"/admin/cms/blog","admin","src/legacy-pages/admin/AdminCMSBlog.tsx","/admin/cms/blog","src/app/(admin)/admin/cms/blog/page.tsx","exists","W5-cms","Shared view under src/views/admin/cms"
"/admin/cms/news","admin","src/legacy-pages/admin/AdminCMSNews.tsx","/admin/cms/news","src/app/(admin)/admin/cms/news/page.tsx","exists","W5-cms","Shared view under src/views/admin/cms"
"/admin/cms/careers","admin","src/legacy-pages/admin/AdminCMSCareers.tsx","/admin/cms/careers","src/app/(admin)/admin/cms/careers/page.tsx","exists","W5-cms","Shared view under src/views/admin/cms"
"/admin/cms/resources","admin","src/legacy-pages/admin/AdminCMSResources.tsx","/admin/cms/resources","src/app/(admin)/admin/cms/resources/page.tsx","exists","W5-cms","Shared view under src/views/admin/cms"
"/admin/cms/about","admin","src/legacy-pages/admin/AdminCMSAbout.tsx","/admin/cms/about","src/app/(admin)/admin/cms/about/page.tsx","exists","W5-cms","Shared view under src/views/admin/cms"
"/admin/cms/governance","admin","src/legacy-pages/admin/AdminCMSGovernance.tsx","/admin/cms/governance","src/app/(admin)/admin/cms/governance/page.tsx","exists","W5-cms","Shared view under src/views/admin/cms"
"*","public","src/legacy-pages/NotFound.tsx","*","src/app/not-found.tsx","exists","W1-auth-public","App Router not-found.tsx; optional redirect from unknown paths"
